paper_id,paper,year,venue,task,representation,granulation,split_criterion,merge_criterion,stop_criterion,uncertainty,decision,downstream,dataset,noise,baseline,main_gain,code,author_weakness,suspected_weakness,evidence_level,source_url,notes
P0150,A novel attribute reduction algorithm based on granular sequential three-way decision,2025,Information Sciences,feature selection; decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject; ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ins.2024.121691,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0151,Green Supplier Selection Based on Sequential Group Three-Way Decision Making,2023,Mathematics,decision analysis,interval granule,hierarchical/multi-level,entropy/information,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; entropy,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.3390/math11224605,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0152,Optimal scale generation in two-class dominance decision tables with sequential three-way decision,2023,Information Sciences,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ins.2022.12.097,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0153,A sequential three-way decision model based on hesitant fuzzy sets,2021,Journal of Intelligent &amp; Fuzzy Systems: Applications in Engineering and Technology,decision analysis,shadowed set,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.3233/jifs-201524,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0154,Granular Description of Uncertain Data for Classification Rules in Three-Way Decision,2022,Applied Sciences,classification; decision analysis,points/objects or not reported,not reported in metadata/abstract,entropy/information,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; entropy,three-way accept/defer/reject; classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.3390/app122211381,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0155,Intuitionistic Fuzzy Sequential Three-Way Decision Model in Incomplete Information Systems,2024,Symmetry,decision analysis,rough-set approximation,hierarchical/multi-level,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.3390/sym16091244,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0156,Incremental Sequential Three-Way Decision Using a Deep Stacked Autoencoder,2019,Lecture Notes in Computer Science,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-030-22815-6_32,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0157,A sequential three-way decision model based on linguistic Z-numbers,2025,PLOS One,decision analysis,rough-set approximation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1371/journal.pone.0320350,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0158,Threshold Selection Strategy for Sequential Three-Way Decision Model,2025,International Journal of Software Engineering and Knowledge Engineering,decision analysis,points/objects or not reported,multi-granulation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1142/s0218194025500895,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0159,A cost-sensitive sequential multi-class three-way decision model,2026,International Journal of Machine Learning and Cybernetics,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/s13042-025-02839-y,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0160,A Sequential Three-Way Decision Model Based on Uncertainty Measurement,2025,Lecture Notes in Computer Science,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-031-92741-6_11,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
